ID,Title,StudyArea,WMU,Method,TelemFixRate,TelemType,SurveyType,Strata,DataCollected,Scale,Grain,Extent,Season,StartMonth,EndMonth,StartYear,EndYear,Duration,Species,Multi,Individuals,SampleUnit,SampleSize,Predictor,PredictorInteraction,PredictorType,Response,ResponseType,MetricNum,DensityUnit,MetricText,SE,CILevel,CIL,CIU,RangeL,RangeU,Comments,
161,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,CensusFlights,,,,StratifiedRandomQuadrats,ArealCount,StudyArea,3,1685,,Jan,Jan,1976,1976,0,Moose,FALSE,FALSE,,,,,,Abundance,,367,,,,90,275,459,,,,
162,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,CensusFlights,,,,StratifiedRandomQuadrats,ArealCount,StudyArea,3,1685,,Feb,Feb,1977,1977,0,Moose,FALSE,FALSE,,,,,,Abundance,,320,,,,90,243,397,,,,
163,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,CensusFlights,,,,Transects,ArealProp,StudyArea,1,1685,,Jan,Jan,1977,1977,0,Moose,FALSE,FALSE,,,,,,Abundance,range,,,355-399,,90,259,631,,,,
164,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,CensusFlights,,,,Transects,ArealProp,StudyArea,1,1685,,Dec,Dec,1977,1977,0,Moose,FALSE,FALSE,,,,,,Abundance,,473,,,,90,313,971,,,,
165,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,CensusFlights,,,,Transects,ArealProp,StudyArea,1,1685,,Mar,Mar,1978,1978,0,Moose,FALSE,FALSE,,,,,,Abundance,,443,,,,90,288,962,,,,
166,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,CensusFlights,,,,Transects,ArealCount,StudyArea,5,25000,,Feb,Feb,1978,1978,0,Moose,FALSE,FALSE,,,,,,Abundance,,510,,,,,,,,,,
167,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,ArealObs,Population,-1,20000,Winter,Nov,Feb,1994,1997,0,Caribou,TRUE,TRUE,Individual,117,Upland,,Cat,Selection,Ivlev's electivity index,-0.65,,,,,,,,,,
168,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,ArealObs,Population,-1,20000,Winter,Nov,Feb,1994,1997,0,Wolf,TRUE,TRUE,Individual,23,Upland,,Cat,Selection,Ivlev's electivity index,0.5,,,,,,,,,,
169,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,ArealObs,Population,-1,20000,Winter,Nov,Feb,1994,1997,0,Moose,TRUE,TRUE,Individual,37,Upland,,Cat,Selection,Ivlev's electivity index,0.3,,,,,,,,,,
170,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,ArealObs,Population,-1,20000,Spring,Nov,Feb,1994,1997,0,Caribou,TRUE,TRUE,Individual,117,Upland,,Cat,Selection,Ivlev's electivity index,-0.75,,,,,,,,,,
171,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,ArealObs,Population,-1,20000,Spring,Nov,Feb,1994,1997,0,Wolf,TRUE,TRUE,Individual,23,Upland,,Cat,Selection,Ivlev's electivity index,0.45,,,,,,,,,,
172,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,ArealObs,Population,-1,20000,Spring,Nov,Feb,1994,1997,0,Moose,TRUE,TRUE,Individual,37,Upland,,Cat,Selection,Ivlev's electivity index,0.15,,,,,,,,,,
173,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,ArealObs,Population,-1,20000,Fall,Nov,Feb,1994,1997,0,Caribou,TRUE,TRUE,Individual,117,Upland,,Cat,Selection,Ivlev's electivity index,-0.5,,,,,,,,,,
174,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,ArealObs,Population,-1,20000,Fall,Nov,Feb,1994,1997,0,Wolf,TRUE,TRUE,Individual,23,Upland,,Cat,Selection,Ivlev's electivity index,0.4,,,,,,,,,,
175,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,Kills,Population,-1,20000,Fall,Nov,Feb,1994,1997,0,Moose,TRUE,TRUE,Individual,37,Upland,,Cat,Selection,Ivlev's electivity index,0.3,,,,,,,,,,
176,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Telemetry,2weeks,Radio,,Search,Kills,Population,-1,20000,Winter,Nov,Feb,1994,1997,0,Wolf,TRUE,TRUE,KillSite,76,Upland,,Cat,SelectionKills,Ivlev's electivity index,0.57,,,,,,,,,,
177,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Ground,,,,Dens;Opportunistic;Rendevous;Roads;Seismic,Scat,StudyArea,-1,20000,All,Nov,Feb,1994,1997,0,Wolf,TRUE,TRUE,Scat,969,Moose,,Cat,Diet,Proportion,0.428,,,,,,,,,,
178,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Ground,,,,Dens;Opportunistic;Rendevous;Roads;Seismic,Scat,StudyArea,-1,20000,All,Nov,Feb,1994,1997,0,Wolf,TRUE,TRUE,Scat,969,Deer,,Cat,Diet,Proportion,0.063,,,,,,,,,,
179,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Ground,,,,Dens;Opportunistic;Rendevous;Roads;Seismic,Scat,StudyArea,-1,20000,All,Nov,Feb,1994,1997,0,Wolf,TRUE,TRUE,Scat,969,Caribou,,Cat,Diet,Proportion,0.03,,,,,,,,,,
180,Spatial separation of caribou from moose and its relation to predation by wolves,GrandRapids,518;519,Ground,,,,Dens;Opportunistic;Rendevous;Roads;Seismic,Scat,StudyArea,-1,20001,All,Nov,Feb,1994,1997,0,Wolf,TRUE,TRUE,Scat,970,Caribou/Moose,,Cat,Diet,ratio,0.0094,,,,95,,0.0248,,,,
181,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,-1,2560,Winter,Dec,Mar,2006,2009,0,Caribou,TRUE,FALSE,Scat,1914,Wetland,,Cont,Selection,beta,1.99,,,0.27,,,,,,,
182,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,-1,2560,Winter,Dec,Mar,2006,2009,0,Caribou,TRUE,FALSE,Scat,1914,LF,,Cont,Selection,beta,2.71,,,0.63,,,,,,,
183,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,-1,2560,Winter,Dec,Mar,2006,2009,0,Caribou,TRUE,FALSE,Scat,1914,Road2ndDist,,Cont,Selection,beta,0.07,,,0.02,,,,,,,
184,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,-1,2560,Winter,Dec,Mar,2006,2009,0,Caribou,TRUE,FALSE,Scat,1914,Road3rdDist,,Cont,Selection,beta,0.03,,,0.01,,,,,,,
185,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,-1,2560,Winter,Dec,Mar,2006,2009,0,Moose,TRUE,FALSE,Scat,1175,LF,,Category,Selection,beta,-0.5,,,0.17,,,,,,,
186,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,-1,2560,Winter,Dec,Mar,2006,2009,0,Moose,TRUE,FALSE,Scat,1175,2ndRD,250m,Cat,Selection,beta,-3.51,,,1.25,,,,,,,
187,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,-1,2560,Winter,Dec,Mar,2006,2009,0,Moose,TRUE,FALSE,Scat,1175,3rdRD,,Cat,Selection,beta,-2.38,,,0.7,,,,,,,
188,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,5.3,2560,Winter,Dec,Mar,2006,2009,0,Wolf,TRUE,FALSE,Scat,183,LF,,Category,Selection,beta,1.18,,,0.15,,,,,,,
189,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,5.3,2560,Winter,Dec,Mar,2006,2009,0,Wolf,TRUE,FALSE,Scat,183,Deer RSPF,,Cont,Selection,beta,1.18,,,0.15,,,,,,,
193,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,8,2560,Winter,Dec,Mar,2006,2006,0,Wolf,TRUE,TRUE,Individual,183,,,Continuous,Abundance,N,85,,,23.1,95,57,155,,,,
198,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,8,2560,Winter,Dec,Mar,2009,2009,0,Wolf,TRUE,TRUE,Individual,183,,,Continuous,Abundance,N,113,,,23,95,82,178,,,,
199,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,8,2560,Winter,Dec,Mar,2006,2006,0,Caribou,TRUE,TRUE,Individual,183,,,Continuous,Abundance,N,277,,,71,95,180,471,,,,
200,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,8,2560,Winter,Dec,Mar,2009,2009,0,Caribou,TRUE,TRUE,Individual,183,,,Continuous,Abundance,N,330,,,24.8,95,290,389,,,,
201,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,8,2560,Winter,Dec,Mar,2006,2006,0,Moose,TRUE,TRUE,Individual,183,,,Continuous,Abundance,N,304,,,39.5,95,252,416,,,,
202,"The influences of wolf predation, habitat loss, and human activity on caribou and moose in the Alberta oil sands",ESAR,,Ground,,,,,Scat,Population,8,2560,Winter,Dec,Mar,2009,2009,0,Moose,TRUE,TRUE,Individual,183,,,Continuous,Abundance,N,387,,,53.9,95,303,519,,,,
205,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Water,LowTimber,Category,Selection,beta,0.0893,,,0,0,0,0,0,0,,
206,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Shrub,LowTimber,Category,Selection,beta,0.1318,,,0,0,0,0,0,0,,
207,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,WetMeadow,LowTimber,Category,Selection,beta,0.0846,,,0,0,0,0,0,0,,
208,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Conifer,LowTimber,Category,Selection,beta,0.0423,,,0,0,0,0,0,0,,
209,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Decid,LowTimber,Category,Selection,beta,0.0925,,,0,0,0,0,0,0,,
210,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Mixed,LowTimber,Category,Selection,beta,0.1261,,,0,0,0,0,0,0,,
211,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,ClosedConWet,LowTimber,Category,Selection,beta,0.184,,,0,0,0,0,0,0,,
212,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,DisturbanceGeneral,LowTimber,Category,Selection,beta,0.0135,,,0,0,0,0,0,0,,
217,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Water,HighTimber,Category,Selection,beta,0.106,,,0,0,0,0,0,0,,
218,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Shrub,HighTimber,Category,Selection,beta,0.1163,,,0,0,0,0,0,0,,
219,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,WetMeadow,HighTimber,Category,Selection,beta,0.057,,,0,0,0,0,0,0,,
220,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Conifer,HighTimber,Category,Selection,beta,0.0655,,,0,0,0,0,0,0,,
221,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Decid,HighTimber,Category,Selection,beta,0.1901,,,0,0,0,0,0,0,,
222,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Mixed,HighTimber,Category,Selection,beta,0.1184,,,0,0,0,0,0,0,,
223,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,ClosedConWet,HighTimber,Category,Selection,beta,0.1073,,,0,0,0,0,0,0,,
224,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,DisturbanceGeneral,HighTimber,Category,Selection,beta,0.174,,,0,0,0,0,0,0,,
225,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,OpenConWet,LowTimber,Category,Selection,beta,0.2359,,,0,0,0,0,0,0,,
226,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Winter,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,OpenConWet,HighTimber,Category,Selection,beta,0.0654,,,0,0,0,0,0,0,,
227,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Water,LowTimber,Category,Selection,beta,0.1236,,,0,0,0,0,0,0,,
228,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Shrub,LowTimber,Category,Selection,beta,0.1683,,,0,0,0,0,0,0,,
229,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,WetMeadow,LowTimber,Category,Selection,beta,0.0948,,,0,0,0,0,0,0,,
230,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Conifer,LowTimber,Category,Selection,beta,0.0314,,,0,0,0,0,0,0,,
231,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Decid,LowTimber,Category,Selection,beta,0.0341,,,0,0,0,0,0,0,,
232,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Mixed,LowTimber,Category,Selection,beta,0.1472,,,0,0,0,0,0,0,,
233,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,ClosedConWet,LowTimber,Category,Selection,beta,0.1087,,,0,0,0,0,0,0,,
234,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,DisturbanceGeneral,LowTimber,Category,Selection,beta,0.015,,,0,0,0,0,0,0,,
235,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Water,HighTimber,Category,Selection,beta,0.0859,,,0,0,0,0,0,0,,
236,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Shrub,HighTimber,Category,Selection,beta,0.1297,,,0,0,0,0,0,0,,
237,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,WetMeadow,HighTimber,Category,Selection,beta,0.04507,,,0,0,0,0,0,0,,
238,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Conifer,HighTimber,Category,Selection,beta,0.0511,,,0,0,0,0,0,0,,
239,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Decid,HighTimber,Category,Selection,beta,0.199,,,0,0,0,0,0,0,,
240,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,Mixed,HighTimber,Category,Selection,beta,0.123,,,0,0,0,0,0,0,,
241,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,ClosedConWet,HighTimber,Category,Selection,beta,0.13,,,0,0,0,0,0,0,,
242,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,DisturbanceGeneral,HighTimber,Category,Selection,beta,0.1377,,,0,0,0,0,0,0,,
243,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,OpenConWet,LowTimber,Category,Selection,beta,0.2769,,,0,0,0,0,0,0,,
244,Moose habitat preferences in response to changing availability,Alpac,503;512;516;517;518;519;529;530;531,Telemetry,"2,3weeks",Radio,,,ArealObs,Population,0,6000,Summer,June,Dec,1994,1996,,Moose,FALSE,TRUE,Individual,22,OpenConWet,HighTimber,Category,Selection,beta,0.0987,,,0,0,0,0,0,0,,
245,The Effect of Human Settlement on the Density of Moose in Northern Alberta,Alberta,,CensusFlights,,,,StratifiedRandomQuadrats;Transects,ArealCount,StudyArea,0.67,376224,Winter,,,1993,1994,,Moose,FALSE,FALSE,Quadrats,870,,,,Density,median,0.27,,,0,0,0,0,0.02,2.67,,
